Product ID (#),Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
57,Нектарин,9481,364,Фрукты,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2007-11-13,2014-01-24,3.78,New
58,Шаурма,1680,408,Мясо,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",1996-05-01,1999-05-25,4.81,Temporarily Unavailable
59,Портулак,6361,90,Овощи,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",2019-02-06,2029-07-08,4.21,Temporarily Unavailable
60,Новотерская,8095,698,Напитки,Помогает поддерживать нормальный уровень глюкозы в крови.,2007-01-01,2011-04-13,3.69,Delivered
61,Мортаделла,8897,818,Мясо,Помогает поддерживать нормальный уровень холестерина в крови.,1998-04-02,1999-04-18,3.56,Sold
62,Печень,4266,707,Мясо,Отличается натуральным составом и отсутствием искусственных добавок.,2011-03-06,2030-01-08,1.0,In Stock
63,Самса,7875,413,Мясо,Помогает поддерживать нормальный уровень электролитов в организме.,2021-04-01,2029-06-06,0.76,Returned
64,Сельдерей сушеный,6623,99,Бакалея,Является важным компонентом рациона для поддержания гормонального баланса.,2013-01-09,2028-03-02,2.43,Pending
65,Чеддер,1901,10,Молочные продукты,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",1990-07-02,2028-02-02,4.73,Delivered
66,Пакеты для Дня Земли,6530,36,Товары для дома,Отличается способностью повышать общий тонус и работоспособность.,1990-05-09,2024-01-12,2.27,Available for Pickup
67,Гусь,2223,622,Мясо,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",2017-01-03,2019-10-21,2.97,Sold
68,Слива,161,944,Фрукты,Используется в косметологии для ухода за кожей и волосами.,2021-01-02,2023-08-01,1.9,Backorder
69,Подносы,4852,105,Товары для дома,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2017-04-16,2030-01-19,3.84,Out of Stock
70,Кружки,3217,982,Товары для дома,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2014-02-01,2018-04-03,1.99,Temporarily Unavailable
71,Лавровый лист сушеный,2379,901,Бакалея,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",2012-02-05,2015-04-13,0.33,Awaiting Payment
72,Кабачок,7665,100,Овощи,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,2001-03-04,2020-04-07,3.4,Delivered
73,Кровяная колбаса,7262,516,Мясо,"Помогает поддерживать нормальный уровень адреналина, гормона стресса и возбуждения.",1994-04-05,2014-01-10,0.97,Awaiting Review
74,Папайя,4826,104,Фрукты,"Подходит для использования в диетах, направленных на снижение веса.",2012-07-05,2024-02-08,3.89,Awaiting Review
75,Бадьян,9624,512,Бакалея,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",1997-01-07,1999-03-18,2.55,Sold
76,Конфи,4976,854,Мясо,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2006-11-04,2022-07-03,2.44,Pending
77,Мандарин,8740,890,Фрукты,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",2022-03-17,2023-07-07,3.36,On Backorder
78,Ванилин,6711,424,Бакалея,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2018-08-19,2026-03-19,2.57,Returned
79,Темный шоколад,9675,847,Бакалея,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",2000-05-06,2028-07-12,1.78,Pending
80,Каша из дробленной овсянки,9599,669,Бакалея,Является важным компонентом сбалансированного рациона питания.,2012-05-05,2016-05-08,2.66,Available for Pickup
81,Голландский сыр,2799,850,Молочные продукты,Отличается легкостью в переваривании и усвоении организмом.,2009-02-24,2027-01-24,1.47,Returned
82,Мята перечная сушеная,2090,403,Бакалея,Отличается удобством использования и экономичностью в расходе.,1991-05-03,2017-01-09,3.45,Temporarily Unavailable
83,Яблоко,1219,476,Фрукты,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2004-01-19,2029-03-01,2.48,Awaiting Review
84,Темрюкская,2064,769,Напитки,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2016-02-07,2028-02-10,3.32,Sold
85,Черника,9582,980,Фрукты,Является неотъемлемой частью рациона многих народов мира.,2012-02-03,2023-02-02,0.58,Cancelled
86,Окра,581,458,Овощи,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2008-04-07,2012-01-09,4.18,Out of Stock
87,Морс брусничный,2303,277,Напитки,Помогает улучшить когнитивные функции и память.,2005-01-13,2027-03-15,2.78,On Backorder
88,Топинамбур,5523,418,Овощи,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2012-11-03,2023-07-05,4.8,Returned
89,Пахта,5339,69,Молочные продукты,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2015-07-02,2021-03-18,3.5,On Backorder
90,Чай зеленый,5116,399,Напитки,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",1999-01-10,2019-09-12,2.95,Temporarily Unavailable
91,Черника,5747,368,Фрукты,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1997-02-03,1999-06-03,0.95,In Stock
92,Талицкая,1613,390,Напитки,Может быть использован в выпечке для придания ей особой пышности и аромата.,1994-01-24,2010-06-06,4.5,Awaiting Review
93,Бекон,8163,817,Мясо,Является важным компонентом сбалансированного рациона питания.,2006-02-01,2022-01-02,2.64,Refunded
94,Ведро для мытья полов,9047,892,Товары для дома,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",2001-12-19,2023-06-14,0.28,Delivered
95,Камамбер,3167,868,Молочные продукты,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",2010-11-01,2029-07-20,3.34,Pending
96,Портулак,2139,116,Овощи,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",1997-02-08,2015-02-04,2.9,In Stock
97,Пакеты для семинара,1839,308,Товары для дома,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2015-01-14,2016-02-25,4.6,Returned
98,Сливки,6050,76,Молочные продукты,"Является источником антиоксидантов, замедляющих процессы старения.",2020-07-07,2030-01-06,2.85,Backorder
99,Кондиционер для волос,7983,600,Товары для дома,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2004-02-04,2007-05-02,1.31,Available for Pickup
100,Гречка,2240,885,Бакалея,"Отличается высоким содержанием астаксантина, мощного антиоксиданта, полезного для кожи и суставов.",2016-08-01,2028-02-09,3.9,Available for Pickup
101,Мацони,2640,129,Молочные продукты,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,2013-06-14,2026-07-01,2.84,Awaiting Payment
102,Укроп,5709,317,Овощи,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2019-10-21,2021-07-01,2.87,Awaiting Review
103,Повидло,1668,215,Бакалея,"Отличается высоким содержанием селена, важного для антиоксидантной защиты организма.",2013-05-13,2022-08-14,3.17,Sold
104,Ямс,9543,693,Овощи,Отличается высокой степенью очистки и отсутствия посторонних примесей.,2021-08-08,2029-02-21,2.09,Temporarily Unavailable
105,Саратовская,2206,396,Напитки,"Богат кальцием, необходимым для укрепления костей и зубов.",2011-05-03,2029-05-04,2.16,Delivered
106,Evian,469,922,Напитки,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2013-06-04,2024-06-01,2.15,Shipping
107,Карпаччо,4743,8,Мясо,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",2007-05-09,2013-02-24,4.22,Temporarily Unavailable
108,Куриные голени,6317,523,Мясо,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2012-01-12,2023-01-08,4.61,Returned
109,Пармезан,652,273,Молочные продукты,Отличается гипоаллергенностью и безопасностью для большинства людей.,1993-01-11,2018-02-13,3.04,New
110,Сердце,4706,158,Мясо,Отличается простотой в использовании и хранении.,1995-01-06,2004-01-07,3.55,Refunded
111,Патиссон,1973,122,Овощи,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,2003-03-04,2011-10-02,3.7,Pending
112,Авокадо,7027,508,Фрукты,"Помогает поддерживать нормальный уровень фитоэстрогенов, веществ, полезных для женского здоровья.",2016-01-12,2019-03-01,1.13,Refunded
113,Смородина,6544,367,Фрукты,Помогает поддерживать нормальный уровень электролитов в организме.,1993-02-25,2010-09-06,1.65,Backorder
114,Пакеты для аукциона,1987,211,Товары для дома,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",1997-01-09,2006-06-05,3.17,Refunded
115,Каша из дробленого кускуса,1949,427,Бакалея,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",1993-01-05,1998-01-03,4.15,Refunded
116,Редис,6844,468,Овощи,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,2021-09-10,2029-01-04,3.39,Backorder
117,Шелковица,1520,733,Фрукты,Помогает поддерживать нормальный уровень кислотности желудка.,1998-01-05,2026-08-02,2.88,Awaiting Review
118,Пятновыводитель,616,2,Товары для дома,Помогает поддерживать нормальную функцию щитовидной железы благодаря содержанию йода.,2015-01-06,2029-07-03,2.86,Out of Stock
119,Фанта,1171,436,Напитки,Может использоваться в косметических процедурах для увлажнения кожи.,1994-02-01,2014-02-02,3.15,Delivered
120,Сливки,420,403,Молочные продукты,Отличается высокими показателями усвояемости организмом.,1996-06-03,2016-03-02,2.49,Awaiting Payment
121,Каймак,5296,521,Молочные продукты,Поддерживает иммунитет и общее состояние здоровья.,2011-04-11,2022-01-02,4.95,Awaiting Review
122,Сельдерей,6185,33,Овощи,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2002-02-25,2011-03-06,4.66,Delivered
123,Пакеты пластиковые,4586,821,Товары для дома,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2001-01-18,2011-01-08,0.95,Awaiting Payment
124,Репа,9985,966,Овощи,"Помогает поддерживать нормальный уровень дигидротестостерона, гормона, отвечающего за половое созревание у мужчин.",2002-07-01,2019-03-06,4.49,New
125,Чабрец сушеный,7291,274,Бакалея,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2022-05-11,2024-02-02,3.66,New
126,Топинамбур,6396,556,Овощи,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2008-07-03,2024-01-04,3.16,Available for Pickup
127,Шаурма,3353,416,Мясо,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2003-03-12,2010-02-05,2.87,Pending
128,Нафтуся,2001,755,Напитки,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2017-07-01,2023-08-14,0.16,Out of Stock
129,Пахта,7088,665,Молочные продукты,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1990-03-15,1992-04-17,3.74,Returned
130,Пармезан,9527,191,Молочные продукты,Отличается высоким уровнем биологической доступности питательных веществ.,2006-02-14,2023-04-01,0.9,Temporarily Unavailable
131,Капуста белокочанная,8057,93,Овощи,Помогает поддерживать нормальный уровень сахара в крови.,2016-01-09,2030-06-05,1.84,Temporarily Unavailable
132,Айва,4231,684,Фрукты,Отличается высокими показателями усвояемости организмом.,1994-01-03,2011-08-13,3.6,Shipping
133,Конина,1192,354,Мясо,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",1993-01-08,2028-06-10,3.13,Refunded
134,Пакеты для конференции,380,408,Товары для дома,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2016-05-11,2030-04-01,1.95,Returned
135,7UP,497,23,Напитки,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",1991-02-16,2000-01-03,3.32,Pending
136,Севастопольская,8192,255,Напитки,Представляет собой ценный источник питательных веществ для растущего организма.,2017-09-12,2026-06-14,2.38,Awaiting Review
137,Гауда,7735,149,Молочные продукты,"Подходит для веганов и вегетарианцев, если произведен без использования животных компонентов.",2012-02-04,2025-01-01,2.49,New
138,Вяленое мясо,5270,878,Мясо,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",1991-07-22,1992-01-02,0.12,Refunded
139,Белый перец молотый,7016,897,Бакалея,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",2020-02-06,2028-11-18,1.27,On Backorder
140,Кокос,103,975,Фрукты,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2000-05-04,2019-05-14,1.02,New
141,Постельное белье,6506,896,Товары для дома,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",1997-03-07,2022-01-02,1.45,In Stock
142,Чеддер,8313,471,Молочные продукты,Подходит для использования в специализированных диетах и лечебных программах.,1994-05-03,2021-01-25,3.71,Out of Stock
143,Ярославская,6984,593,Напитки,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2011-06-02,2026-04-02,4.77,Shipping
144,Пакеты для Всемирного дня поэзии,9785,30,Товары для дома,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2000-10-10,2024-01-12,4.82,Backorder
145,Инжир,1480,515,Фрукты,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2011-02-21,2022-07-06,4.22,Shipping
146,Масло сливочное,5234,766,Молочные продукты,Помогает поддерживать нормальный уровень энергии и выносливости.,2002-03-02,2008-04-01,0.01,Cancelled
147,Окра,1234,786,Овощи,Придает блюдам особую нежность и насыщенность.,2008-01-13,2017-01-01,2.96,Awaiting Review
148,Репа,6248,705,Овощи,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2003-01-01,2022-06-07,1.49,In Stock
149,Новотерская,449,786,Напитки,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2000-04-09,2014-02-01,0.69,Delivered
150,Абрикос,4425,426,Фрукты,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",2003-06-01,2010-11-03,2.16,Awaiting Review
151,Йогурт питьевой,3318,869,Напитки,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,1995-01-11,1996-05-05,2.25,Pending
